STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/18/17,12.97,,,0,0,0,42,45,32,290,330,23.9,29.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/19/17,8.5,,,0,0,0,41,53,29,190,190,23.9,31.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/20/17,8.28,,,0.13,0,0,49,54,37,20,20,21,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/21/17,12.3,,,0,0,0,44,54,33,30,40,25.1,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/22/17,11.86,,,0,0,0,33,37,28,30,40,23,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/23/17,12.75,,,0.02,0,0,37,50,29,170,170,25.9,33.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/24/17,15.66,,,0,0,0,58,82,42,240,250,30,38.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/25/17,11.63,,,0.71,0,0,43,47,41,40,40,19.9,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/26/17,7.61,,,0.3,0,0,51,62,47,230,240,16.1,19.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/27/17,7.38,,,0,0,0,50,52,42,50,30,14.1,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/28/17,10.51,,,0,0,0,44,50,36,10,40,18.1,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/29/17,11.86,,,0.11,0,0,41,49,35,60,50,21,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/30/17,14.54,,,1.84,0,0,43,45,39,50,100,28,35.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/31/17,14.54,,,0.02,0,0,39,44,36,10,10,23,31.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/1/17,5.82,,,0,0,0,45,59,34,100,140,13,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/2/17,6.04,,,0,0,0,50,61,42,140,130,17,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/3/17,8.5,,,0.19,0,0,50,54,46,310,310,16.1,19.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/4/17,8.72,,,0.02,0,0,49,56,43,340,320,16.1,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/5/17,18.12,,,1.04,0,0,45,47,40,20,30,31.1,38.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/6/17,17,,,0.29,0,0,43,51,38,360,10,30,40
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/7/17,10.96,,,0,0,0,44,54,37,350,350,21.9,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/8/17,13.87,,,0,0,0,50,68,37,170,180,25.1,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/9/17,18.79,,,0,0,0,64,77,57,190,190,33.1,47
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/10/17,13.87,,,0.32,0,0,69,78,41,200,260,36,44.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/11/17,9.4,,,0,0,0,47,54,41,300,300,19.9,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/12/17,7.16,,,0,0,0,48,59,38,80,80,16.1,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/13/17,9.17,,,0.19,0,0,50,60,44,100,60,17,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/14/17,9.4,,,0.06,0,0,54,66,47,160,150,16.1,19.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/15/17,16.11,,,0.09,0,0,70,82,61,270,270,32,40.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/16/17,11.63,,,0.59,0,0,68,73,52,290,280,23,29.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/17/17,6.93,,,0,0,0,59,69,44,50,40,17,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/18/17,11.41,,,0,0,0,55,76,41,190,190,25.9,33.1
